Shetran-Optimise
****************
number,deep_soil_conductivity,shallow_soil_conductivity,shallow_soil_depth,AePe_ratio,urban-prec-fraction,NSECal,BiasCal,NSEVal,BiasVal
   1,    0.0001,    3.5226,    1.7338,    1.5004,    0.4852,    0.4157,  -15.8908,    0.1343,   -6.4265
   2,    0.8383,   34.2001,    3.7036,    1.6938,    0.4331,    0.4087,   -8.7657,    0.4711,    1.3145
   3,    0.3451,   87.2472,    0.8147,    1.8324,    0.3804,    0.6973,  -11.2544,    0.7445,   -2.0034
   4,    0.7346,   30.7174,    0.6740,    1.8623,    0.1391,    0.6798,  -20.1815,    0.6904,  -10.5427
   5,    0.0404,    9.4175,    2.4559,    1.8897,    0.1303,    0.6310,  -24.9391,    0.6143,  -13.2101
   6,    0.9118,   10.0904,    2.7322,    1.7784,    0.1484,    0.6248,  -21.2241,    0.6821,   -9.8188
   7,    0.9946,   78.0468,    0.5688,    0.7548,    0.4979,    0.7709,    4.0429,    0.7638,   12.7256
   8,    0.7537,   22.5794,    2.8075,    1.3085,    0.2920,    0.6002,   -6.6351,    0.6461,    3.6605
   9,    0.8392,    3.5166,    3.9628,    1.3787,    0.4068,    0.6981,  -13.1801,    0.6763,   -2.4913
  10,    0.4449,   71.2410,    3.2808,    1.1581,    0.1835,    0.4665,    5.5200,    0.4824,   14.5076
  11,    0.7311,   66.9074,    3.0273,    0.8172,    0.2233,    0.4784,   10.3485,    0.4833,   19.2619
  12,    0.2631,   75.4773,    2.4243,    1.4551,    0.3524,    0.5489,   -0.4447,    0.5794,    8.5157
  13,    0.4948,   47.5988,    0.9288,    1.3023,    0.1777,    0.7574,   -6.8072,    0.7732,    2.7215
  14,    0.9679,   59.3338,    0.5617,    0.9715,    0.3213,    0.7668,   -0.8173,    0.7593,    7.9797
  15,    0.6763,    2.6714,    1.4298,    1.1913,    0.4350,    0.6723,   -8.3660,    0.5314,    0.8530
  16,    0.2290,   62.7280,    0.6591,    1.2848,    0.4239,    0.7871,   -6.5104,    0.7642,    2.0761
  17,    0.3319,   89.3009,    2.9599,    1.6190,    0.2036,    0.4571,    1.1982,    0.4700,    9.9513
  18,    0.6713,   65.8425,    3.7741,    1.9569,    0.3004,    0.3693,   -5.2112,    0.3924,    3.8122
  19,    0.4299,   32.3944,    2.6129,    0.7531,    0.4706,    0.6928,    4.8440,    0.6952,   14.0475
  20,    0.5356,   54.2413,    2.4770,    1.0546,    0.2952,    0.6132,    3.2286,    0.6310,   12.4726
  21,    0.1927,   60.6759,    2.7367,    1.2167,    0.3986,    0.5990,    1.5127,    0.6225,   10.4855
  22,    0.6608,   97.5123,    3.6124,    1.6758,    0.4911,    0.4601,    1.5333,    0.4704,    9.7656
  23,    0.7855,   16.1735,    1.2092,    0.9252,    0.4066,    0.7467,   -1.9396,    0.6791,    6.6588
  24,    0.3888,   59.5682,    0.8701,    0.3469,    0.6633,    0.7834,   11.4374,    0.7579,   19.4022
  25,    0.3760,   40.7710,    0.6305,    0.6961,    0.5738,    0.7487,    3.5081,    0.6482,   11.3035
  26,    0.2074,   81.9826,    0.9629,    0.4111,    0.5803,    0.7851,   12.1218,    0.7635,   19.9228
  27,    0.0696,    3.0147,    3.3187,    1.3121,    0.4764,    0.5757,  -11.1335,    0.3721,   -1.7633
  28,    0.7002,   65.6833,    0.6399,    0.6480,    0.5061,    0.7828,    5.1683,    0.7581,   13.4032
  29,    0.8303,   62.1942,    3.2807,    0.5762,    0.3956,    0.4927,   13.8450,    0.4954,   22.6926
  30,    0.3153,   87.1854,    1.2336,    0.6979,    0.2038,    0.7745,    7.4576,    0.7682,   15.8998
  31,    0.3425,   77.0208,    1.2099,    1.6421,    0.3142,    0.7220,   -9.4268,    0.7605,   -0.0928
  32,    0.2118,  115.5449,    0.2683,    0.5397,    0.5913,    0.7564,    7.4709,    0.6561,   14.7058
  33,    0.3966,  121.9389,    0.8437,    0.8659,    0.2744,    0.7491,    6.9565,    0.7570,   15.7180
  34,    0.5150,   48.7876,    0.3941,    1.7652,    0.2500,    0.6923,  -18.0263,    0.6390,   -9.1478
  35,    0.3378,    7.5974,    3.4016,    1.1214,    0.1219,    0.7363,   -6.4250,    0.6842,    3.1902
  36,    0.3971,   63.2532,    0.1193,    1.6528,    0.3997,    0.6299,  -16.1392,    0.4924,   -8.0268
  37,    0.7757,   45.0244,    0.5480,    1.4536,    0.1958,    0.7409,  -10.9269,    0.7437,   -1.6116
  38,    0.5523,   50.9453,    0.8233,    1.5290,    0.2623,    0.7263,  -10.6456,    0.7597,   -0.8769
  39,    0.6928,   45.3210,    2.4956,    0.9632,    0.1764,    0.6334,    3.3995,    0.6474,   12.7461
  40,    0.6549,   40.0349,    0.5886,    1.4667,    0.2515,    0.7394,  -11.7557,    0.7319,   -2.4643
  41,    0.1473,    7.3427,    1.2308,    1.7983,    0.1269,    0.5468,  -22.6079,    0.3910,  -12.0867
  42,    0.9170,    4.4379,    1.6935,    0.6320,    0.1218,    0.7022,    3.4831,    0.5694,   11.3235
  43,    1.1248,   50.5347,    1.6334,    0.5922,    0.2206,    0.6947,    8.5435,    0.6943,   17.7174
  44,    0.7630,   46.7032,    1.5930,    0.3466,    0.2745,    0.7241,   12.2580,    0.7043,   20.8455
